# Run 2016-05-30 02:56:36
# Parameters:
#	degap: False
#	translate: False
#	hydrophobicity_scale: Kyte-Doolittle
#	merge: False
#	aas: all
#	begin_aa: 1
#	pH: 7.2
#	out_fname: ../data/scer-proteome-aa-freqs.txt
#	sequence: None
#	exclude: False
#	end_aa: None
#	in_fname: c:/Dropbox (Drummond Lab)/bio/genomes/scer_orf_trans_all.fasta
#	query: None
orf	length	charge	pI	hydrophobicity	f.A	f.C	f.D	f.E	f.F	f.G	f.H	f.I	f.K	f.L	f.M	f.N	f.P	f.Q	f.R	f.S	f.T	f.V	f.W	f.Y	n.A	n.C	n.D	n.E	n.F	n.G	n.H	n.I	n.K	n.L	n.M	n.N	n.P	n.Q	n.R	n.S	n.T	n.V	n.W	n.Y
#YAL001C TFC3 SGDID:S000000001, Chr I from 151006-147594,151166-151097, Genome Release 64-1-1, reverse complement, Verified ORF, "Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding"
YAL001C	1160	37.5696	9.8449	-0.5116	0.0448	0.0060	0.0681	0.0629	0.0362	0.0509	0.0138	0.0750	0.1078	0.0836	0.0147	0.0569	0.0259	0.0319	0.0552	0.0836	0.0647	0.0750	0.0129	0.0302	52	7	79	73	42	59	16	87	125	97	17	66	30	37	64	97	75	87	15	35
#YAL002W VPS8 SGDID:S000000002, Chr I from 143707-147531, Genome Release 64-1-1, Verified ORF, "Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif"
YAL002W	1274	-28.7975	5.5551	-0.0903	0.0392	0.0204	0.0542	0.0628	0.0463	0.0353	0.0235	0.0801	0.0620	0.1264	0.0118	0.0589	0.0369	0.0416	0.0322	0.1013	0.0526	0.0644	0.0110	0.0392	50	26	69	80	59	45	30	102	79	161	15	75	47	53	41	129	67	82	14	50
#YAL003W EFB1 SGDID:S000000003, Chr I from 142174-142253,142620-143160, Genome Release 64-1-1, Verified ORF, "Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"
YAL003W	206	-23.9608	4.1437	-0.4165	0.1553	0.0049	0.1068	0.1068	0.0485	0.0291	0.0146	0.0583	0.0874	0.0583	0.0194	0.0291	0.0291	0.0437	0.0097	0.0728	0.0388	0.0583	0.0146	0.0146	32	1	22	22	10	6	3	12	18	12	4	6	6	9	2	15	8	12	3	3
#YAL004W YAL004W SGDID:S000002136, Chr I from 140760-141407, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C"
YAL004W	215	-6.8276	5.1675	-0.0181	0.0000	0.0093	0.0605	0.0372	0.0558	0.0837	0.0279	0.0605	0.0233	0.1070	0.0047	0.0698	0.0000	0.0558	0.0419	0.1302	0.0930	0.1163	0.0233	0.0000	0	2	13	8	12	18	6	13	5	23	1	15	0	12	9	28	20	25	5	0
#YAL005C SSA1 SGDID:S000000004, Chr I from 141431-139503, Genome Release 64-1-1, reverse complement, Verified ORF, "ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall; 98% identical with Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes"
YAL005C	642	-20.9318	4.8470	-0.4385	0.0935	0.0047	0.0763	0.0794	0.0436	0.0779	0.0078	0.0623	0.0826	0.0748	0.0125	0.0498	0.0436	0.0358	0.0405	0.0639	0.0701	0.0639	0.0016	0.0156	60	3	49	51	28	50	5	40	53	48	8	32	28	23	26	41	45	41	1	10
#YAL007C ERP2 SGDID:S000000005, Chr I from 138345-137698, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"
YAL007C	215	-5.2041	4.8541	0.1479	0.0744	0.0093	0.0558	0.0605	0.0512	0.0372	0.0047	0.1023	0.0651	0.1023	0.0140	0.0651	0.0186	0.0233	0.0279	0.0884	0.0744	0.0744	0.0093	0.0419	16	2	12	13	11	8	1	22	14	22	3	14	4	5	6	19	16	16	2	9
#YAL008W FUN14 SGDID:S000000006, Chr I from 136914-137510, Genome Release 64-1-1, Verified ORF, "Mitochondrial protein of unknown function"
YAL008W	198	17.8606	10.9963	0.2838	0.0505	0.0051	0.0202	0.0253	0.0657	0.0960	0.0051	0.0606	0.0859	0.1414	0.0404	0.0707	0.0253	0.0253	0.0505	0.0606	0.0455	0.0909	0.0152	0.0202	10	1	4	5	13	19	1	12	17	28	8	14	5	5	10	12	9	18	3	4
